"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","dismissNotification_existingId_shouldSetDismissedTrue()","","Mon Jul 21 20:31:09 GMT 2025","passed","Mon Jul 21 20:31:09 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","dismissNotification_existingId_shouldSetDismissedTrue"
"","8","searchNotification_shouldDelegateToRepository()","","Mon Jul 21 20:31:09 GMT 2025","passed","Mon Jul 21 20:31:09 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","searchNotification_shouldDelegateToRepository"
"","34","readNotification_existingId_shouldMarkAsRead()","","Mon Jul 21 20:31:09 GMT 2025","passed","Mon Jul 21 20:31:09 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","readNotification_existingId_shouldMarkAsRead"
"","14","findNotifications_withCategoryAndStatusRead_shouldQueryCorrectly()","","Mon Jul 21 20:31:09 GMT 2025","passed","Mon Jul 21 20:31:09 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","findNotifications_withCategoryAndStatusRead_shouldQueryCorrectly"
"","2929","saveNotification_shouldSaveAndReturn()","","Mon Jul 21 20:31:06 GMT 2025","passed","Mon Jul 21 20:31:09 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","saveNotification_shouldSaveAndReturn"
"","16","readNotification_invalidId_shouldThrowException()","","Mon Jul 21 20:31:09 GMT 2025","passed","Mon Jul 21 20:31:09 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","readNotification_invalidId_shouldThrowException"
"","13","getNotification_existingId_shouldReturnNotification()","","Mon Jul 21 20:31:09 GMT 2025","passed","Mon Jul 21 20:31:09 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","getNotification_existingId_shouldReturnNotification"
"","12","dismissNotification_invalidId_shouldThrowException()","","Mon Jul 21 20:31:09 GMT 2025","passed","Mon Jul 21 20:31:09 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","dismissNotification_invalidId_shouldThrowException"
"","212","findNotifications_withoutCategoryAndUnreadStatus_shouldQueryCorrectly()","","Mon Jul 21 20:31:09 GMT 2025","passed","Mon Jul 21 20:31:09 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","findNotifications_withoutCategoryAndUnreadStatus_shouldQueryCorrectly"
