"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","readNotification_invalidId_shouldThrowException()","","Mon Jul 21 20:36:47 GMT 2025","passed","Mon Jul 21 20:36:47 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","readNotification_invalidId_shouldThrowException"
"","13","getNotification_existingId_shouldReturnNotification()","","Mon Jul 21 20:36:47 GMT 2025","passed","Mon Jul 21 20:36:47 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","getNotification_existingId_shouldReturnNotification"
"","11","searchNotification_shouldDelegateToRepository()","","Mon Jul 21 20:36:47 GMT 2025","passed","Mon Jul 21 20:36:47 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","searchNotification_shouldDelegateToRepository"
"","2906","saveNotification_shouldSaveAndReturn()","","Mon Jul 21 20:36:43 GMT 2025","passed","Mon Jul 21 20:36:46 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","saveNotification_shouldSaveAndReturn"
"","6","dismissNotification_existingId_shouldSetDismissedTrue()","","Mon Jul 21 20:36:47 GMT 2025","passed","Mon Jul 21 20:36:47 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","dismissNotification_existingId_shouldSetDismissedTrue"
"","32","readNotification_existingId_shouldMarkAsRead()","","Mon Jul 21 20:36:47 GMT 2025","passed","Mon Jul 21 20:36:47 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","readNotification_existingId_shouldMarkAsRead"
"","13","findNotifications_withCategoryAndStatusRead_shouldQueryCorrectly()","","Mon Jul 21 20:36:47 GMT 2025","passed","Mon Jul 21 20:36:47 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","findNotifications_withCategoryAndStatusRead_shouldQueryCorrectly"
"","5","dismissNotification_invalidId_shouldThrowException()","","Mon Jul 21 20:36:47 GMT 2025","passed","Mon Jul 21 20:36:47 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","dismissNotification_invalidId_shouldThrowException"
"","216","findNotifications_withoutCategoryAndUnreadStatus_shouldQueryCorrectly()","","Mon Jul 21 20:36:47 GMT 2025","passed","Mon Jul 21 20:36:47 GMT 2025","","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","com.talentradar.talentradarnotificationservicerw.services.NotificationServicesTest","findNotifications_withoutCategoryAndUnreadStatus_shouldQueryCorrectly"
